rxnid,Yield
test1,0.6603
test2,0.6524
test3,0.6310
test4,0.5557
test5,0.6727
test6,0.7183
test7,0.7154
test8,0.6411
test9,0.4140
test10,0.7300
test11,0.5871
test12,0.5681
test13,0.6857
test14,0.4596
test15,0.6200
test16,0.5745
test17,0.5785
test18,0.5389
test19,0.4633
test20,0.6779
test21,0.6232
test22,0.3811
test23,0.4285
test24,0.5181
test25,0.6331
test26,0.7076
test27,0.7190
test28,0.6689
test29,0.5252
test30,0.4790
test31,0.6249
test32,0.7129
test33,0.6587
test34,0.7228
test35,0.4953
test36,0.3582
test37,0.6760
test38,0.5932
test39,0.3529
test40,0.6039
test41,0.5702
test42,0.6892
test43,0.5773
test44,0.6387
test45,0.6332
test46,0.6620
test47,0.7180
test48,0.5681
test49,0.6210
test50,0.6794
test51,0.5335
test52,0.6552
test53,0.4783
test54,0.5901
test55,0.7230
test56,0.5345
test57,0.7200
test58,0.5433
test59,0.6122
test60,0.5810
test61,0.6217
test62,0.5705
test63,0.3915
test64,0.6667
test65,0.7341
test66,0.6417
test67,0.4752
test68,0.4829
test69,0.5974
test70,0.6381
test71,0.6350
test72,0.6138
test73,0.6282
test74,0.6765
test75,0.6918
test76,0.6469
test77,0.6469
test78,0.4970
test79,0.5940
test80,0.5878
test81,0.6273
test82,0.7452
test83,0.4097
test84,0.7282
test85,0.5772
test86,0.6956
test87,0.5496
test88,0.6865
test89,0.6509
test90,0.6123
test91,0.7212
test92,0.7488
test93,0.7033
test94,0.2295
test95,0.5485
test96,0.7013
test97,0.6403
test98,0.7237
test99,0.6608
test100,0.3828
test101,0.6770
test102,0.6811
test103,0.6560
test104,0.6515
test105,0.7278
test106,0.6388
test107,0.7042
test108,0.6410
test109,0.5383
test110,0.5987
test111,0.5683
test112,0.7515
test113,0.7154
test114,0.7479
test115,0.7271
test116,0.7520
test117,0.7392
test118,0.6398
test119,0.6984
test120,0.7234
test121,0.5648
test122,0.7365
test123,0.7703
test124,0.5719
test125,0.5987
test126,0.7330
test127,0.6464
test128,0.6912
test129,0.6742
test130,0.5745
test131,0.4939
test132,0.3991
test133,0.6123
test134,0.6584
test135,0.6193
test136,0.6146
test137,0.5535
test138,0.6725
test139,0.7085
test140,0.6224
test141,0.6757
test142,0.6374
test143,0.6012
test144,0.6930
test145,0.6562
test146,0.6994
test147,0.5685
test148,0.3287
test149,0.5851
test150,0.6897
test151,0.6300
test152,0.6208
test153,0.6946
test154,0.6741
test155,0.6329
test156,0.5357
test157,0.7307
test158,0.7099
test159,0.7244
test160,0.6523
test161,0.6648
test162,0.5319
test163,0.6885
test164,0.6373
test165,0.5206
test166,0.6512
test167,0.4533
test168,0.7490
test169,0.6318
test170,0.6119
test171,0.5707
test172,0.3853
test173,0.4083
test174,0.7143
test175,0.6863
test176,0.4828
test177,0.5983
test178,0.5057
test179,0.6864
test180,0.6870
test181,0.3777
test182,0.5919
test183,0.6015
test184,0.6312
test185,0.6461
test186,0.4992
test187,0.5283
test188,0.5982
test189,0.6997
test190,0.5527
test191,0.6349
test192,0.6474
test193,0.3846
test194,0.5857
test195,0.7346
test196,0.6038
test197,0.6956
test198,0.5882
test199,0.7328
test200,0.6656
test201,0.6555
test202,0.5291
test203,0.6126
test204,0.6503
test205,0.7183
test206,0.6883
test207,0.6148
test208,0.6895
test209,0.4873
test210,0.4814
test211,0.6255
test212,0.7291
test213,0.6055
test214,0.6427
test215,0.6030
test216,0.6331
test217,0.6694
test218,0.7130
test219,0.4876
test220,0.7306
test221,0.5091
test222,0.6744
test223,0.7364
test224,0.6276
test225,0.6801
test226,0.5190
test227,0.6318
test228,0.6745
test229,0.5743
test230,0.6897
test231,0.6871
test232,0.5170
test233,0.6601
test234,0.6626
test235,0.4509
test236,0.7014
test237,0.7119
test238,0.5003
test239,0.6391
test240,0.7068
test241,0.7755
test242,0.5105
test243,0.7408
test244,0.6303
test245,0.5151
test246,0.5164
test247,0.6861
test248,0.5822
test249,0.6381
test250,0.6972
test251,0.4987
test252,0.5747
test253,0.6793
test254,0.6244
test255,0.3615
test256,0.7242
test257,0.4568
test258,0.6336
test259,0.5303
test260,0.5720
test261,0.4939
test262,0.6827
test263,0.5836
test264,0.6624
test265,0.5372
test266,0.5555
test267,0.6152
test268,0.5888
test269,0.7198
test270,0.6378
test271,0.4733
test272,0.6653
test273,0.7077
test274,0.6697
test275,0.6708
test276,0.5864
test277,0.8179
test278,0.6080
test279,0.7308
test280,0.6615
test281,0.6396
test282,0.6714
test283,0.6296
test284,0.6538
test285,0.6085
test286,0.6406
test287,0.5816
test288,0.7483
test289,0.6075
test290,0.6570
test291,0.6021
test292,0.5125
test293,0.5922
test294,0.5436
test295,0.5245
test296,0.3088
test297,0.7289
test298,0.6349
test299,0.5892
test300,0.5848
test301,0.6430
test302,0.5778
test303,0.6176
test304,0.7400
test305,0.7192
test306,0.6742
test307,0.6106
test308,0.7074
test309,0.6467
test310,0.7377
test311,0.7679
test312,0.5165
test313,0.6754
test314,0.6349
test315,0.6852
test316,0.5607
test317,0.5845
test318,0.6101
test319,0.6539
test320,0.4618
test321,0.6469
test322,0.7231
test323,0.7060
test324,0.4784
test325,0.6448
test326,0.5581
test327,0.6050
test328,0.7639
test329,0.7225
test330,0.5243
test331,0.6213
test332,0.7939
test333,0.6411
test334,0.6080
test335,0.7054
test336,0.7351
test337,0.7387
test338,0.6931
test339,0.5733
test340,0.6633
test341,0.6863
test342,0.4887
test343,0.4166
test344,0.6840
test345,0.6090
test346,0.4179
test347,0.6725
test348,0.7460
test349,0.5548
test350,0.5174
test351,0.2069
test352,0.2845
test353,0.6776
test354,0.6149
test355,0.6523
test356,0.5010
