rxnid,Yield
test1,0.7102
test2,0.7283
test3,0.5928
test4,0.5669
test5,0.5947
test6,0.7163
test7,0.6032
test8,0.7176
test9,0.4513
test10,0.8059
test11,0.6030
test12,0.5303
test13,0.7056
test14,0.4615
test15,0.5898
test16,0.5609
test17,0.5023
test18,0.4891
test19,0.4548
test20,0.6943
test21,0.6382
test22,0.3256
test23,0.5605
test24,0.5707
test25,0.6649
test26,0.7698
test27,0.7233
test28,0.7051
test29,0.4842
test30,0.5173
test31,0.5917
test32,0.6832
test33,0.7026
test34,0.7431
test35,0.5066
test36,0.4691
test37,0.7203
test38,0.5939
test39,0.3119
test40,0.5036
test41,0.7272
test42,0.7269
test43,0.4976
test44,0.6926
test45,0.6057
test46,0.7400
test47,0.7674
test48,0.5303
test49,0.6832
test50,0.7485
test51,0.5479
test52,0.6267
test53,0.4567
test54,0.5533
test55,0.8033
test56,0.4469
test57,0.7740
test58,0.5916
test59,0.5986
test60,0.5587
test61,0.5796
test62,0.4868
test63,0.4258
test64,0.4464
test65,0.7662
test66,0.5229
test67,0.5384
test68,0.5020
test69,0.5589
test70,0.6062
test71,0.6548
test72,0.5247
test73,0.6736
test74,0.6859
test75,0.7414
test76,0.5967
test77,0.5960
test78,0.3903
test79,0.5905
test80,0.5214
test81,0.7019
test82,0.7077
test83,0.2996
test84,0.7187
test85,0.6433
test86,0.8147
test87,0.5064
test88,0.7042
test89,0.6593
test90,0.6343
test91,0.6933
test92,0.7770
test93,0.7833
test94,0.2665
test95,0.4329
test96,0.6709
test97,0.6259
test98,0.7871
test99,0.6043
test100,0.3128
test101,0.7151
test102,0.6113
test103,0.7581
test104,0.6313
test105,0.7682
test106,0.6803
test107,0.7491
test108,0.6158
test109,0.4590
test110,0.6136
test111,0.5588
test112,0.6357
test113,0.7154
test114,0.7730
test115,0.7309
test116,0.6574
test117,0.8214
test118,0.5416
test119,0.7123
test120,0.7027
test121,0.6855
test122,0.6946
test123,0.7151
test124,0.5111
test125,0.4941
test126,0.8413
test127,0.5638
test128,0.6920
test129,0.6915
test130,0.5353
test131,0.4934
test132,0.4631
test133,0.5860
test134,0.7284
test135,0.6580
test136,0.5624
test137,0.5884
test138,0.7666
test139,0.7451
test140,0.6701
test141,0.7185
test142,0.6057
test143,0.5599
test144,0.6697
test145,0.6337
test146,0.7374
test147,0.5711
test148,0.3963
test149,0.6200
test150,0.6850
test151,0.5844
test152,0.6857
test153,0.7507
test154,0.6054
test155,0.5892
test156,0.5721
test157,0.8142
test158,0.7619
test159,0.6781
test160,0.6104
test161,0.6797
test162,0.4705
test163,0.7527
test164,0.6407
test165,0.5161
test166,0.5930
test167,0.4505
test168,0.7946
test169,0.6943
test170,0.5976
test171,0.5925
test172,0.4209
test173,0.4476
test174,0.6898
test175,0.6478
test176,0.4612
test177,0.5892
test178,0.3896
test179,0.6776
test180,0.6437
test181,0.3330
test182,0.6503
test183,0.5103
test184,0.5884
test185,0.4890
test186,0.5440
test187,0.5173
test188,0.5951
test189,0.8073
test190,0.5352
test191,0.6045
test192,0.6034
test193,0.4501
test194,0.5675
test195,0.7314
test196,0.6721
test197,0.8098
test198,0.4639
test199,0.7325
test200,0.7090
test201,0.5543
test202,0.5051
test203,0.6488
test204,0.6070
test205,0.6752
test206,0.6265
test207,0.6087
test208,0.7001
test209,0.4875
test210,0.4527
test211,0.5966
test212,0.6743
test213,0.5956
test214,0.6068
test215,0.4501
test216,0.5584
test217,0.6538
test218,0.8356
test219,0.4247
test220,0.6902
test221,0.4492
test222,0.6777
test223,0.6353
test224,0.6081
test225,0.7882
test226,0.5682
test227,0.6896
test228,0.6587
test229,0.6070
test230,0.6500
test231,0.7344
test232,0.6051
test233,0.6785
test234,0.6392
test235,0.4336
test236,0.7346
test237,0.7413
test238,0.5243
test239,0.5066
test240,0.6996
test241,0.7332
test242,0.4491
test243,0.6868
test244,0.5870
test245,0.4658
test246,0.5336
test247,0.7042
test248,0.6216
test249,0.5913
test250,0.6941
test251,0.4491
test252,0.6088
test253,0.6731
test254,0.5997
test255,0.4633
test256,0.7663
test257,0.3491
test258,0.5410
test259,0.5354
test260,0.6093
test261,0.4999
test262,0.7641
test263,0.6269
test264,0.7686
test265,0.4385
test266,0.6221
test267,0.5174
test268,0.5609
test269,0.6691
test270,0.5992
test271,0.4677
test272,0.7391
test273,0.8034
test274,0.7042
test275,0.6429
test276,0.5579
test277,0.8444
test278,0.6161
test279,0.7794
test280,0.6422
test281,0.7200
test282,0.6849
test283,0.5827
test284,0.6642
test285,0.5895
test286,0.4894
test287,0.6508
test288,0.6690
test289,0.6563
test290,0.7443
test291,0.6304
test292,0.5304
test293,0.5020
test294,0.6424
test295,0.6294
test296,0.4280
test297,0.7275
test298,0.6217
test299,0.6120
test300,0.6391
test301,0.6072
test302,0.5110
test303,0.5492
test304,0.7146
test305,0.6915
test306,0.7154
test307,0.5764
test308,0.7652
test309,0.5971
test310,0.6891
test311,0.7004
test312,0.5199
test313,0.6190
test314,0.5782
test315,0.6258
test316,0.4845
test317,0.5316
test318,0.5576
test319,0.7634
test320,0.4529
test321,0.7163
test322,0.6498
test323,0.7657
test324,0.3989
test325,0.6677
test326,0.4993
test327,0.5258
test328,0.7978
test329,0.7493
test330,0.5552
test331,0.6726
test332,0.8378
test333,0.5396
test334,0.6611
test335,0.7546
test336,0.7781
test337,0.7407
test338,0.7093
test339,0.6349
test340,0.7333
test341,0.7219
test342,0.3925
test343,0.4182
test344,0.5148
test345,0.5226
test346,0.3955
test347,0.6083
test348,0.7996
test349,0.5404
test350,0.5293
test351,0.2163
test352,0.3589
test353,0.7075
test354,0.5978
test355,0.7678
test356,0.4856
test357,0.6635
test358,0.5016
test359,0.8622
test360,0.6951
test361,0.5484
test362,0.7152
test363,0.7240
test364,0.7889
test365,0.4194
test366,0.5366
test367,0.6115
test368,0.7230
test369,0.7748
test370,0.4826
test371,0.7862
test372,0.4873
test373,0.5249
test374,0.4129
test375,0.5414
test376,0.5022
test377,0.6658
test378,0.7612
test379,0.4376
test380,0.6890
test381,0.5590
test382,0.2652
test383,0.6186
test384,0.5458
test385,0.6456
test386,0.4720
test387,0.8007
test388,0.6469
test389,0.4043
test390,0.6672
test391,0.7222
test392,0.5865
test393,0.8378
test394,0.6340
test395,0.5344
test396,0.6663
test397,0.5898
test398,0.4601
test399,0.4044
test400,0.5703
test401,0.7434
test402,0.5993
test403,0.8016
test404,0.6435
test405,0.6633
test406,0.7933
test407,0.7025
test408,0.6300
test409,0.4476
test410,0.7085
test411,0.6379
test412,0.6642
test413,0.6504
test414,0.7452
test415,0.5257
test416,0.3857
test417,0.4973
test418,0.5290
test419,0.7410
test420,0.7185
test421,0.5028
test422,0.4896
test423,0.7419
test424,0.6765
test425,0.5654
test426,0.5401
test427,0.6388
test428,0.6385
test429,0.5177
test430,0.7351
test431,0.5064
test432,0.6123
test433,0.6975
test434,0.7157
test435,0.7785
test436,0.6497
test437,0.7077
test438,0.7030
test439,0.6075
test440,0.6213
test441,0.8152
test442,0.7029
test443,0.7863
test444,0.5959
test445,0.4852
test446,0.6372
test447,0.3612
test448,0.6732
test449,0.4862
test450,0.7808
test451,0.5366
test452,0.7358
test453,0.6550
test454,0.7440
test455,0.8386
test456,0.4571
test457,0.6423
test458,0.6525
test459,0.6439
test460,0.7192
test461,0.4784
test462,0.5154
test463,0.6644
test464,0.7378
test465,0.6266
test466,0.4369
test467,0.6648
test468,0.6639
test469,0.4498
test470,0.7859
test471,0.4308
test472,0.7870
test473,0.5446
test474,0.5391
test475,0.6620
test476,0.6417
test477,0.4945
test478,0.4796
test479,0.7316
test480,0.3923
test481,0.6750
test482,0.6187
test483,0.3838
test484,0.5646
test485,0.4825
test486,0.7278
test487,0.6078
test488,0.4669
test489,0.6706
test490,0.7251
test491,0.6833
test492,0.6597
test493,0.5558
test494,0.7362
test495,0.5929
test496,0.5667
test497,0.4845
test498,0.7357
test499,0.6025
test500,0.7900
test501,0.7428
test502,0.6157
test503,0.7765
test504,0.6711
test505,0.6612
test506,0.7462
test507,0.7627
test508,0.7254
test509,0.5692
test510,0.5569
test511,0.6543
test512,0.5938
test513,0.4751
test514,0.6767
test515,0.6718
test516,0.6581
test517,0.5601
test518,0.8445
test519,0.6279
test520,0.4472
test521,0.3441
test522,0.5008
test523,0.8024
test524,0.5706
test525,0.4606
test526,0.4053
test527,0.4838
test528,0.7393
test529,0.6878
test530,0.4380
test531,0.6892
test532,0.6564
test533,0.6296
test534,0.6735
test535,0.3595
test536,0.7199
test537,0.7359
test538,0.4817
test539,0.6460
test540,0.4680
test541,0.7998
test542,0.7347
test543,0.5823
test544,0.6293
test545,0.6633
test546,0.6975
test547,0.6152
test548,0.7917
test549,0.5513
test550,0.4000
test551,0.7493
test552,0.4628
test553,0.5023
test554,0.4127
test555,0.5219
test556,0.5585
test557,0.6986
test558,0.3581
test559,0.7461
test560,0.5956
test561,0.8021
test562,0.6639
test563,0.6559
test564,0.6731
test565,0.4124
test566,0.5766
test567,0.4686
test568,0.6725
test569,0.5942
test570,0.5442
test571,0.7447
test572,0.6192
test573,0.5069
test574,0.4346
test575,0.4782
test576,0.6548
test577,0.5730
test578,0.5733
test579,0.7540
test580,0.7171
test581,0.6499
test582,0.5636
test583,0.5954
test584,0.5808
test585,0.4627
test586,0.4065
test587,0.6180
test588,0.4178
test589,0.5473
test590,0.4121
test591,0.5991
test592,0.5114
test593,0.4704
test594,0.5660
test595,0.7554
test596,0.5545
test597,0.5661
test598,0.6631
test599,0.6002
test600,0.7084
test601,0.5573
test602,0.5805
test603,0.6674
test604,0.6775
test605,0.6632
test606,0.7013
test607,0.5665
test608,0.7010
test609,0.8362
test610,0.5153
test611,0.7676
test612,0.7392
test613,0.6649
test614,0.5385
test615,0.5414
test616,0.5668
test617,0.4823
test618,0.4485
test619,0.4842
test620,0.7380
test621,0.5682
test622,0.5337
test623,0.4772
test624,0.6285
test625,0.4926
test626,0.6212
test627,0.3689
test628,0.3767
test629,0.4257
test630,0.7136
test631,0.4487
test632,0.7331
test633,0.5193
test634,0.7094
test635,0.5434
test636,0.6165
test637,0.7234
test638,0.6891
test639,0.5665
test640,0.8759
test641,0.6969
test642,0.5492
test643,0.6825
test644,0.6928
test645,0.5204
test646,0.7384
test647,0.6098
test648,0.6482
